;cD315_S52;cD316_S53;cD317_S54;cD321_S58;cD322_S59;cD323_S60;cD327_S64;cD328_S65;cD329_S66;cD333_S70;cD334_S71;cD335_S72;cD339_S76;cD340_S77;cD341_S78;cD345_S82;cD346_S83;cD347_S84;cD351_S88;cD352_S89;cD353_S90;cD358_S93;cD359_S94
____Hydrogenedentes;0;0;0,01021811;0;0;0;0;0;0;0,006203694;0;0,003817202;0;0;0;0;0;0;0;0;0;0;0
___028H05-P-BN-P5_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ARKICE-90_Proteobacteria;0,079588643;0,095713816;0,142124624;0,14968556;0,079752552;0,065030076;0,089394317;0,099100752;0,147459165;0,126732603;0,10150706;0,093139725;0,144046241;0,059473331;0,062286191;0,061471902;0,12431694;0,119294882;0,193688968;0,13680393;0,15410241;0,073999466;0,080787715
___Elev-16S-509_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___JG30-KF-CM66_Chloroflexi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___ML635J-21_Cyanobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___OM190_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
___SPOTSOCT00m83_Proteobacteria;0,010731053;0,021934416;0,045517036;0,005023005;0,00754416;0,020592858;0,010258364;0,005138558;0;0,011521146;0,00457239;0,004580642;0;0,009912222;0;0;0,004781421;0;0,005043984;0;0,003965871;0;0
___TA18_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__42095_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__B38_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__E6aD10_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__Hot-Creek-32_Betaproteobacteria_Proteobacteria;0;0;0,004644596;0;0;0;0;0,005872637;0,049153055;0,007089936;0;0;0;0;0;0;0,004781421;0;0,048422242;0;0,004532424;0;0
__oca12_Betaproteobacteria_Proteobacteria;0;0;0;0,006027606;0;0;0;0;0,003781004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
__OCS116-clade_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AKIW852_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,006606717;0;0;0;0,005344083;0,00547011;0,00550679;0;0,006225003;0;0;0;0,008263325;0,00566553;0;0
_alphaI-cluster_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_AT-s3-44_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_BIgi5_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Blfdi19_Myxococcales_Deltaproteobacteria_Proteobacteria;0,005365526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_C2U_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_ctg-CGOF202_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_D05-2_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,010731053;0,033898643;0;0,00904141;0,033409853;0;0,02344769;0;0,004537205;0,021269808;0;0;0;0;0;0;0;0;0;0;0;0,009249933;0
_DA111_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0,004537205;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_DEV007_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0,004985095;0;0;0,006466423;0;0;0;0,005293406;0;0;0;0;0;0;0;0,003415301;0;0;0;0;0;0
_DSSF69_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0,004471272;0;0;0;0,009699635;0;0;0;0,028735632;0,016838598;0;0;0;0;0;0,010115629;0,023907104;0;0;0,022035532;0;0;0
_GR-WP33-58_Desulfuromonadales_Deltaproteobacteria_Proteobacteria;0,004471272;0,009970189;0,005573515;0;0,006466423;0,006503008;0;0,008074876;0,006805808;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_JG34-KF-161_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_JG34-KF-361_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,006979132;0,018578382;0;0;0;0,013189325;0,013213434;0;0,00886242;0;0,007634404;0;0,020925802;0,007665993;0,051356272;0,011612022;0;0,047413445;0,004590736;0,00566553;0;0,013809866
_MND8_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,003817202;0;0;0;0;0;0;0;0;0;0;0
_MNG7_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009337504;0;0;0;0;0;0;0
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,015202325;0,011964227;0,02043622;0,021096623;0,014010583;0,016257519;0;0,046247018;0,012855414;0,015066114;0,02743434;0,025193532;0,082963341;0,028635307;0,020123231;0,048243771;0,078551913;0,05538691;0,092809297;0,151035211;0,208491496;0,169582109;0,122217312
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0,009970189;0;0;0;0;0;0,011011195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,078694389;0,076770456;0,064095419;0,041188644;0,065741968;0,047688723;0,017585767;0,114516425;0,050665457;0,029245985;0,032921209;0,04122578;0,025527182;0,031939381;0,004791245;0,007003128;0,015710383;0;0;0,0243309;0,035126285;0;0,004833453
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,016149752;0;0;0;0;0;0;0;0;0;0;0;0,002295368;0;0;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0,004644596;0,00904141;0;0,010838346;0;0,004404478;0,003781004;0;0,005486868;0;0,006381795;0;0,01054074;0;0,005464481;0,008521063;0;0,003672589;0,007365189;0;0
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0,014010583;0;0;0;0;0;0;0;0;0;0;0;0,009562842;0,005325664;0;0;0;0;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0,00897317;0;0;0;0;0;0,005138558;0,003781004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_T9d_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_TM146_Solirubrobacterales_Thermoleophilia_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,016990834;0,032901624;0,037156764;0,040184043;0,039876276;0,092125942;0,076204991;0,071939805;0,052934059;0,101917828;0,035664643;0,074053716;0,19965903;0,127757525;0,133196623;0,259893864;0,220628415;0,134206742;0,205794528;0,29931598;0,273078536;0,176776501;0,214052919
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,102839258;0,015952303;0,063166499;0,026119628;0,006466423;0,032515038;0,017585767;0,034501743;0,024198427;0,034563437;0,014631648;0,064892431;0,035555718;0,012114938;0,018206733;0;0,022540984;0,01491186;0,013114357;0,023412753;0,017563142;0;0,066977849
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,007154035;0,006979132;0,005573515;0;0;0;0;0;0,004537205;0;0;0;0;0;0;0,005446877;0;0;0;0,004131662;0,004532424;0;0,003452466
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01101358;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004590736;0;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,092108205;0,051844983;0,091034073;0,134616544;0,074363866;0,053107896;0,070343069;0,077078363;0,085450696;0,06735439;0,08778989;0,076344037;0,091168507;0,083703206;0,026830974;0,048243771;0,105191257;0,064973105;0,064562989;0,056006978;0,056655298;0,02877757;0,051096503
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,239660183;0,178466386;0,176494631;0,111510719;0,090529923;0,141982333;0,165599308;0,154890806;0,134603751;0,139139991;0,160948131;0,132838624;0,160456572;0,17401456;0,044079458;0,077034409;0,099726776;0,095861959;0,063554193;0,070238259;0,088948818;0,08633271;0,083549688
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0,012055213;0,005388686;0,005419173;0;0;0,003781004;0;0,006401346;0;0,009116851;0;0;0;0;0;0;0;0;0;0
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,152023251;0,169493215;0,15698733;0,219003034;0,174593424;0,118137972;0,322405733;0,169572399;0,344827586;0,216243043;0,187467993;0,188569771;0,302679442;0,292961221;0,140862616;0,185971956;0,456284153;0,26308782;0,307682996;0,456778222;0,408484697;0,257970359;0,281030768
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeromonas_Aeromonadaceae_Aeromonadales_Gammaproteobacteria_Proteobacteria;0,006259781;0,00897317;0,014862706;0;0;0;0;0,005138558;0;0;0,006401346;0,009161284;0;0;0;0;0;0;0;0;0,003399318;0;0
Aestuariivita_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0,02043622;0;0;0,010838346;0;0,006606717;0;0;0;0;0;0,00550679;0;0,006225003;0;0;0;0;0;0;0
Afifella_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,016990834;0;0,007431353;0,00904141;0,006466423;0;0;0,005872637;0,037810042;0,010634904;0,008230302;0;0,007293481;0;0;0;0,003415301;0;0,01210556;0;0,003965871;0;0
Afipia_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrococcus_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ahrensia_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,255756763;0,207379934;0,11425705;0,124570533;0,197225904;0,181000379;0,136289696;0,116718664;0,092256503;0,108121522;0,091447802;0,105354771;0,084786711;0,06498012;0,075701678;0,03501564;0,058743169;0,067103371;0,061536599;0,049579948;0,041358367;0,050360747;0,043501077
Albidiferax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0,013059814;0;0;0;0;0;0;0;0;0;0;0;0,007781253;0;0;0;0;0;0;0
Algoriphagus_Cyclobacteriaceae_Cytophagales_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aliihoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alkanindiges_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,003817202;0,004558425;0;0;0,028790638;0,005464481;0,009586196;0,005043984;0,005049809;0,002832765;0;0,003452466
Altererythrobacter_Erythrobacteraceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0;0,006502434;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008196721;0;0;0,016526649;0;0;0,007595426
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0,004644596;0,005023005;0;0;0;0,005138558;0,004537205;0;0;0;0,009116851;0;0,01054074;0;0;0;0;0;0;0;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,231611894;0,201397821;0,235016535;0,162745374;0,215547437;0,283964667;0,118703929;0,194531107;0,232909861;0,205608139;0,140829614;0,174064404;0,2014824;0,153088758;0,079534674;0,119831302;0,142759563;0,07029877;0,025219918;0,127163384;0,094614347;0,040083044;0,033834171
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0,004985095;0;0,005023005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,01984945;0,013675276;0;0;0,004668752;0,012978142;0;0;0;0;0;0,008976413
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,004471272;0;0,016720544;0,012055213;0,014010583;0;0;0,008808956;0,010586812;0;0;0;0,007293481;0;0,004791245;0;0;0;0;0,002295368;0;0;0
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0,006259781;0,004985095;0;0;0,008621897;0;0;0,007340796;0,009830611;0;0,00457239;0;0;0;0;0;0;0;0;0;0,003965871;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0,00804829;0;0,005573515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus_Bacillaceae_Bacillales_Bacilli_Firmicutes;0,005365526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteriovorax_Bacteriovoracaceae_Bdellovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL58-marine-group_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Balneola_Unknown-Family_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0,00754416;0;0;0;0,008318209;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella_Bartonellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,008205166;0,007709506;0;0;0;0;0;0,002295368;0;0;0
Bauldia_Rhizobiales-Incertae-Sedis_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,018943359;0;0,027124229;0;0;0,035171535;0;0;0;0;0;0;0;0;0,013228131;0,019808743;0;0,011096764;0;0,003965871;0;0
BD1-7-clade_Spongiibacteraceae_Cellvibrionales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0,8380434;0,400626;0,4476615;0,7532518;0,5254064;0,463427;1,0083767;0,4367132;0,5725821;0,9437096;0,6965862;0,4855878;2,1547645;0,8469554;0,9923235;2,5114573;0,8045816;0,7356557;2,1721532;0,9099346;1,0838727;1,9406183;0,8849103
Blastopirellula_Planctomycetaceae_Planctomycetales_Planctomycetacia_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosea_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,00804829;0,015952303;0,02136514;0,008036809;0,019399269;0,013006015;0,014654806;0,008074876;0,006805808;0,007976178;0,006401346;0,003817202;0,009116851;0,012114938;0,012457238;0,003890627;0,008196721;0;0,00605278;0,00642703;0,007365189;0;0
Boseongicola_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006608148;0;0;0;0;0;0;0;0;0
Bradyrhizobium_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brevundimonas_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,032193159;0,028913548;0,037156764;0,027124229;0,023710218;0,032515038;0,021982209;0,029363186;0,034029038;0,016838598;0,023776428;0,018322569;0,034644033;0,00550679;0,025872725;0,01167188;0,011612022;0,029823721;0;0,010099619;0,010764507;0,009249933;0,011047893
Brucella_Brucellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caenimonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus-Aquiluna_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caulobacter_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,768164543;0,77966879;0,539702003;0,978481445;1,015228426;0,768438736;0,750326069;1,272160029;1,060193587;1,156545783;1,204367547;1,040569221;0,870659239;1,363481172;0,773307013;0,985884806;1,285519126;1,699952069;0,816116536;1,178441904;0,878157116;0,873604802;0,533060819
CB31G03_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Celeribacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
